datum,varunummer,namn,typ,fran,till
2026-08-15,9562801,La Piade Vinsobres Domaine Chaume Arnaud,ny,,Tillfälligt sortiment
2026-08-15,9046101,Megyer Furmint,ny,,Tillfälligt sortiment
2026-08-15,9584201,Château Lavillotte Saint-Estèphe,ny,,Tillfälligt sortiment
2026-08-15,9264501,Gaja Sito Moresco,ny,,Tillfälligt sortiment
2026-08-15,9526201,Il Poggione Brunello di Montalcino,ny,,Tillfälligt sortiment
2026-08-15,9209501,Etna Bianco,ny,,Tillfälligt sortiment
2026-08-15,9222101,Tokaj-Hétszolo Pezsgo Brut,ny,,Tillfälligt sortiment
2026-08-15,9526601,Fleurie Lafarge-Vial Michel Lafarge,ny,,Tillfälligt sortiment
2026-08-15,9412801,Friedrich Becker Schweigen Chardonnay,ny,,Tillfälligt sortiment
2026-08-15,9011501,Louis Roederer Blanc de Blancs,ny,,Tillfälligt sortiment
2026-08-15,9211901,The Ahrens family Soils of Paarl White,ny,,Tillfälligt sortiment
2026-08-15,2019801,Diente de Leon Skin Contact,ny,,Fast sortiment
2026-08-15,2031901,Bender Riesling,ny,,Fast sortiment
2026-08-15,261134,Rebellion Furmint,ny,,Fast sortiment
2026-08-15,2031801,JUWEL Grauburgunder,ny,,Fast sortiment
2026-08-15,213801,d'Arenberg Hermit Crab,ny,,Fast sortiment
2026-08-15,276301,Kleine Zalze Heritage vineyards old vines chenin blanc,ny,,Fast sortiment
2026-08-15,223701,Txakoli Rezabal,ny,,Fast sortiment
2026-08-15,9323102,Fontanafredda Barolo Serralunga d'Alba,ny,,Tillfälligt sortiment
2026-08-15,9067401,Chablis Premier Cru Mont de Milieu Domaine Pinson,ny,,Tillfälligt sortiment
2026-08-15,9579801,Barolo Cerequio Vietti,ny,,Tillfälligt sortiment
2026-08-15,9235301,Maranges Le Croix Moines Premier Cru Maison Camille Giroud,ny,,Tillfälligt sortiment
2026-08-15,9120201,Adelsheim Breaking Ground Pinot Noir,ny,,Tillfälligt sortiment
2026-08-15,9032901,Guigal Côte Rôtie La Landonne E. Guigal,ny,,Tillfälligt sortiment
2026-08-15,9293701,Château de Nages Héritage Vieilles Vignes,ny,,Tillfälligt sortiment
2026-08-15,9438602,Royal Tokaji  Szt. Tamás Aszú 6 Puttonyos,ny,,Tillfälligt sortiment
2026-08-15,9406901,Aurente Chardonnay,ny,,Tillfälligt sortiment
2026-08-15,9256501,Valiano Chianti Classico,ny,,Tillfälligt sortiment
2026-08-15,7661701,Monk Dominik,ny,,Ordervaror
2026-08-15,7304201,Vinne sklepy Kutna Hora Lucky's Punk Kvevri,ny,,Ordervaror
2026-08-15,7074201,Timorasso Derthona La Zerba,ny,,Ordervaror
2026-08-15,7835001,Shaya Verdejo,ny,,Ordervaror
2026-08-15,7981201,Sancerre Blanc Domaine Des Emois,ny,,Ordervaror
2026-08-15,7068301,Côtes du Jura Grand Minéral Savagnin Domaine Maire et Fils,ny,,Ordervaror
2026-08-15,7620601,Colli Tortonesi Timorasso Derthona Zerba Antica,ny,,Ordervaror
2026-08-15,7880601,Gene Simmons Moneybag Arneis,ny,,Ordervaror
2026-08-15,7956801,Pardevalles Albarín,ny,,Ordervaror
2026-08-15,7755201,La Solitude Côtes du Rhône Blanc,ny,,Ordervaror
2026-08-15,7098001,Carroleón Albarín Carroleón Albarín,ny,,Ordervaror
2026-08-15,5116201,Sonberk Palava VOC,ny,,Ordervaror
2026-08-15,5512501,Unic L’Olivera,ny,,Ordervaror
2026-08-15,5555901,Órbites Improbables Descregut,ny,,Ordervaror
2026-08-15,5660801,Gala Cuvée Palava,ny,,Ordervaror
2026-08-15,7031501,Chablis Noémie Vernaux,ny,,Ordervaror
2026-08-15,7146301,Bourgogne Blanc Noémie Vernaux,ny,,Ordervaror
2026-08-15,7469201,Vouvray La Javeline,ny,,Ordervaror
2026-08-15,5210701,Plener Cuvée Tri No Filter,ny,,Ordervaror
2026-08-15,5013901,Dva Duby Prima Nocta,ny,,Ordervaror
2026-08-15,5846901,Sonberk Chardonnay & Pinot Gris,ny,,Ordervaror
