Varunummer,Namn,Producent,Ursprung,Druvor,Status,Funnen_Vivino_url,Vivino_winery,Vivino_wine_name,Vivino_betyg,Vivino_antal_recensioner,Producer_check,Product_check,Country_ok,Grape_ok,Systembolaget_url
471715,Piccolo Primo Primitivo,Varvaglione Vigne e Vini,Italien,Primitivo,Matchad,https://www.vivino.com/sv/don-primo-primitivo/w/11283720,Don Primo,Primitivo,3.5,239,True,True,True,True,https://www.systembolaget.se/produkt/vin/-471715/
261401,OVE Lisboa Rosé,Enjoy Wine & Spirits,Portugal,,Matchad,https://www.vivino.com/sv/lab-rose/w/1954152,Lab,Rosé,3.8,1892,,,True,False,https://www.systembolaget.se/produkt/vin/-261401/
2030801,Lisa 1503 Spumante,Ca’ di Rajo,Italien,"Garganega, Chardonnay",Matchad,https://www.vivino.com/sv/lisa-1503-extra-dry/w/9293431,Lisa 1503,Extra Dry,3.4,327,True,True,True,False,https://www.systembolaget.se/produkt/vin/-2030801/
253401,Gio Rosso Piceno,Terre Cortesi Moncaro,Italien,"Montepulciano, Sangiovese",Matchad,https://www.vivino.com/sv/moncaro-rosso-piceno-terre-cortesi/w/18078,Moncaro,Rosso Piceno Terre Cortesi,2.9,196,True,True,True,True,https://www.systembolaget.se/produkt/vin/-253401/
169406,Inycon Fiano Chardonnay,Cantine Settesoli,Italien,"Fiano, Chardonnay",Matchad,https://www.vivino.com/sv/inycon-organic-chardonnay/w/4195486,Inycon,Organic Chardonnay,3.5,764,True,True,True,True,https://www.systembolaget.se/produkt/vin/-169406/
252301,Black Knight Cabernet Sauvignon,Limestone Coast Wines,Australien,Cabernet sauvignon,Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-252301/
569101,Famille Audu Chardonnay,Gaec du mas de Reboul,Frankrike,,Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-569101/
2030701,Nigiri Sauvignon Blanc,Vini Bella Terra,Italien,Sauvignon blanc,Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-2030701/
471601,SEDA Bobal Syrah,Torre Oria,Spanien,"Bobal, Syrah",Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-471601/
2031201,Huber Riesling Family Selection,Weingut Markus Huber GmbH & Co KG,Österrike,Riesling,Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-2031201/
649801,Stoneleigh Riesling,Vinarchy,Nya Zeeland,Riesling,Matchad,https://www.vivino.com/sv/stoneleigh-riesling/w/23838,Stoneleigh,Riesling,3.7,7422,True,True,True,True,https://www.systembolaget.se/produkt/vin/-649801/
650801,Black Tower Organic Pink Bubbly,Reh Kendermann,EU,,Matchad,https://www.vivino.com/sv/black-tower-pink-bubbly/w/1223979,Black Tower,Pink Bubbly,3.5,1836,True,True,False,False,https://www.systembolaget.se/produkt/vin/-650801/
282001,Torre do Olivar Treixadura,Adegas Pazo do Mar,Spanien,"Treixadura, Albariño",Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-282001/
2018901,Gorgeous Brut Rosé,Old Road Wine Co,Sydafrika,"Chardonnay, Pinot noir",Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-2018901/
278501,Oakenshield Petite Sirah Castoro Cellars,Castoro Cellars,USA,Petite sirah,Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-278501/
271301,Albades Garnacha Blanca Viura,Hammeken Cellars,Spanien,"Garnacha blanca, Viura",Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-271301/
7598201,Salt & Pepper Double Reserve Cabernet Sauvignon,Providential Wines & Spirits AB,Frankrike,Cabernet sauvignon,Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-7598201/
242124,Dulban Garnacha,Castelo de Pedregosa,Spanien,Garnacha,Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-242124/
242104,Dulban Garnacha,Castelo de Pedregosa,Spanien,Garnacha,Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-242104/
7294501,Viva Valentina Il Classico,Iconic Wines,Italien,"Nero d'avola, Merlot",Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-7294501/
774201,Pizzolato Vino Spumante Rosé Organic,La Cantina Pizzolato,Italien,"Glera, Raboso",Matchad,https://www.vivino.com/sv/pizzolato-rose/w/1629538,Pizzolato,Rosé,3.5,1109,True,True,True,True,https://www.systembolaget.se/produkt/vin/-774201/
499301,Crudo Catarratto Zibibbo Organic,Cantine Colomba Bianca,Italien,"Catarratto, Zibibbo",Matchad,https://www.vivino.com/sv/crudo-catarratto-zibibbo/w/4470850,Crudo,Catarratto - Zibibbo,3.9,23343,True,True,True,True,https://www.systembolaget.se/produkt/vin/-499301/
458701,Leth Duett Riesling Grüner Veltliner Trocken,Weingut Leth,Österrike,"Riesling, Grüner veltliner",Matchad,https://www.vivino.com/sv/franz-leth-duett/w/1230681,Leth,Duett,3.8,5463,True,True,True,True,https://www.systembolaget.se/produkt/vin/-458701/
221602,Cava 1+1=3 Brut Rosé Pinot Noir Organic,1+1=3 U Mes U Fan Tres S.L.,Spanien,Pinot noir,Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-221602/
469604,Dolcetto di Pegaso,Calwine,Italien,Dolcetto,Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-469604/
7314201,Gérard Bertrand Château L'Hospitalet La Réserve Rouge,Gérard Bertrand,Frankrike,"Grenache, Mourvèdre, Syrah",Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-7314201/
7659801,Viva Valentina Sangiovese,Iconic Wines,Italien,Sangiovese,Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-7659801/
7354601,Massimo Rosso Organic,Iconic Wines,Italien,,Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-7354601/
642001,Apothic Red Winemaker's Blend,Apothic Wines,USA,"Cabernet sauvignon, Merlot, Syrah, Zinfandel",Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-642001/
2018801,Calissano Monferrato,CA' BIANCA SPA,Italien,"Barbera, Albarossa",Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-2018801/
7309401,Zins Zinfandel,Fields Wine Co,Italien,Zinfandel,Matchad,https://www.vivino.com/sv/fields-wine-co-stranger-zins-old-vines-zinfandel/w/8354288,Fields Wine Co.,Stranger Zins Old Vines Zinfandel,3.6,1173,True,True,False,True,https://www.systembolaget.se/produkt/vin/-7309401/
626601,Ecologica Berlina Organic,Ruppertsberger Weinkeller Hoheburg eG,Tyskland,"Riesling, Rivaner",Matchad,https://www.vivino.com/sv/ecologic-krav-berlina/w/1138737,Ecologica,Berlina,3.6,1313,True,True,True,True,https://www.systembolaget.se/produkt/vin/-626601/
7420801,Amarone della Valpolicella Casteloro,Fields Wine Company AB,Italien,,Matchad,https://www.vivino.com/sv/casteloro-amarone-della-valpolicella/w/7110089,Casteloro,Amarone della Valpolicella,4.0,6776,True,True,True,False,https://www.systembolaget.se/produkt/vin/-7420801/
258101,Leth Riesling Selection,Weingut Leth,Österrike,Riesling,Matchad,https://www.vivino.com/sv/franz-leth-selection-riesling/w/10882430,Leth,Selection Riesling,3.8,1598,True,True,True,True,https://www.systembolaget.se/produkt/vin/-258101/
281415,Camp Sparkling,Maison Idiart,Frankrike,,Matchad,https://www.vivino.com/sv/camp-sicily-sparkling-brut/w/11468134,Camp,Sparkling Brut,3.1,198,True,True,True,False,https://www.systembolaget.se/produkt/vin/-281415/
281435,Camp Sparkling,Maison Idiart,Frankrike,,Matchad,https://www.vivino.com/sv/camp-sicily-sparkling-brut/w/11468134,Camp,Sparkling Brut,3.1,198,True,True,True,False,https://www.systembolaget.se/produkt/vin/-281435/
471101,Lavista Malbec Reserve,Bodegas DiamAndes,Argentina,Malbec,Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-471101/
7213901,GW :s Reserva,Scanivinus Lda.,Portugal,"Aragonez, Cabernet sauvignon, Castelão",Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-7213901/
7252601,La Bestia Governo Rosso Toscano,Domaine Wines,Italien,"Colorino, Sangiovese",Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-7252601/
7102001,ChateauBriand Bordeaux,Carovin AB,Frankrike,"Merlot, Cabernet sauvignon",Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-7102001/
260301,Segredos de São Miguel Organic,Casa Relvas,Portugal,"Aragonez, Alicante bouschet, Syrah",Matchad,https://www.vivino.com/sv/segredos-de-sao-miguel-organic-red/w/8205961,Segredos de São Miguel,Organic Red,3.5,3095,True,True,True,True,https://www.systembolaget.se/produkt/vin/-260301/
3245202,Raccolto Nero d'Avola Cabernet Sauvignon Organic,Nordic Sea Winery,Italien,"Nero d'avola, Cabernet sauvignon",Matchad,https://www.vivino.com/sv/raccolto-nero-davola-cabernet-sauvignon-ee686/w/2178098,Raccolto,Nero d'Avola - Cabernet Sauvignon,0.0,11,True,True,True,True,https://www.systembolaget.se/produkt/vin/-3245202/
5026001,Hola MZ Cava by Måns Zelmerlöw,Barcelona Brands S.L,Spanien,"Macabeo, Parellada, Xarel-lo",Matchad,https://www.vivino.com/sv/hola-cava-brut/w/2358047,Hola,Cava Brut,3.5,686,True,True,True,True,https://www.systembolaget.se/produkt/vin/-5026001/
563701,Chablis Le Beaunois Labouré-Roi,Labouré-Roi,Frankrike,Chardonnay,Matchad,https://www.vivino.com/sv/laboure-roi-le-beaunois-chablis/w/1125280,Labouré-Roi,Le Beaunois Chablis,3.7,6234,True,True,True,True,https://www.systembolaget.se/produkt/vin/-563701/
464304,JP Chenet Cabernet-Syrah,Les Grands Chais de France,Frankrike,"Cabernet sauvignon, Syrah",Matchad,https://www.vivino.com/sv/jp-chenet-original-cabernet-syrah-vin-de-pays-doc-red-wine/w/84404,JP. Chenet,Original Cabernet - Syrah,3.4,56495,True,True,True,True,https://www.systembolaget.se/produkt/vin/-464304/
1224401,Marie d’ Alsace Biecher Organic Réserve,Jean Biecher,Frankrike,"Pinot blanc, Gewürztraminer",Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-1224401/
286601,Foot of Africa Coastal blend,Kleine Zalze,Sydafrika,"Chardonnay, Chenin blanc, Sauvignon blanc",Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-286601/
5962001,Hola MZ Rosé by Måns Zelmerlöw,Barcelona Brands S.L,Spanien,"Tempranillo, Garnacha, Syrah",Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-5962001/
5239101,Pinot Noir Cuvée Celeste,Fields Wine Company AB,Frankrike,Pinot noir,Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-5239101/
754735,Bubbelburk Brut,Quarisa Wines,Australien,Glera,Ej matchad,,,,,,,,,,https://www.systembolaget.se/produkt/vin/-754735/
266201,Fariña Lágrima,Bodegas Fariña,Spanien,,Matchad,https://www.vivino.com/sv/farina-toro-lagrima/w/7136762,Fariña,Lágrima,3.9,2764,True,True,True,False,https://www.systembolaget.se/produkt/vin/-266201/
626002,Brachetto d´Acqui Braida,Braida di Bologna Giacomo,Italien,,Matchad,https://www.vivino.com/sv/braida-brachetto-d-acqui/w/15154,Braida,Brachetto d'Acqui,4.0,7596,True,True,True,False,https://www.systembolaget.se/produkt/vin/-626002/
787902,Gancia Prosecco Brut,Gancia,Italien,Glera,Matchad,https://www.vivino.com/sv/gancia-prosecco-brut-prosecco/w/8477864,Gancia,Prosecco Brut,3.6,1136,True,True,True,True,https://www.systembolaget.se/produkt/vin/-787902/
278001,El Coto Blanco,El Coto de Rioja,Spanien,Viura,Matchad,https://www.vivino.com/sv/el-coto-blanco/w/8617,El Coto,Blanco,3.5,20569,True,True,True,True,https://www.systembolaget.se/produkt/vin/-278001/
