Varunummer,Vivino_url,Vivino_betyg,Vivino_antal_recensioner,matched_date
742801,https://www.vivino.com/sv/dom-perignon-brut-champagne/w/86684,4.6,182046,
749401,https://www.vivino.com/sv/krug-grande-cuvee/w/7122486,4.6,39345,
3215201,https://www.vivino.com/w/1652,4.6,10323,
204301,https://www.vivino.com/sv/la-rioja-alta-lat-42-rioja-reserva/w/2040257,3.8,4372,
280001,https://www.vivino.com/sv/delas-freres-les-launes-crozes-hermitage/w/14612,3.8,18514,
755301,https://www.vivino.com/w/1197043,4.5,45,
244301,https://www.vivino.com/w/1203557,4.5,739,
1290502,https://www.vivino.com/sv/st-stephens-crown-tokaji-aszu-5-puttonyos-o5f70/w/1211958,4.0,1832,
9515101,https://www.vivino.com/w/11235813,4.5,114,
9382601,https://www.vivino.com/w/1136950,4.5,499,
7531601,https://www.vivino.com/sv/heitz-cabernet-sauvignon/w/83225,4.2,28385,
2298101,https://www.vivino.com/sv/monterosso-terre-degli-osci-rosso-osco/w/1143699,3.2,2222,
153301,https://www.vivino.com/sv/quinta-do-paral-branco/w/5429904,3.9,1306,
9533001,https://www.vivino.com/w/4177110,4.4,190,
667101,https://www.vivino.com/sv/vina-maipo-chardonnay/w/68154,3.2,2480,
667102,https://www.vivino.com/sv/vina-maipo-chardonnay/w/68154,3.2,2480,
7307701,https://www.vivino.com/sv/guldkula-brut-champagne-premier-cru/w/5650610,3.8,5120,
7714101,https://www.vivino.com/sv/pierre-olivier-prestige-blanc-de-blancs/w/4169056,3.5,5388,
741801,https://www.vivino.com/w/18929,4.3,75235,
281106,https://www.vivino.com/w/7729958,4.3,413,
281101,https://www.vivino.com/w/7729958,4.3,413,
257301,https://www.vivino.com/sv/marques-de-riscal-reserva/w/1163903,4.1,261478,
2018302,https://www.vivino.com/w/2411943,4.3,317,
741802,https://www.vivino.com/w/18929,4.3,75235,
741806,https://www.vivino.com/w/18929,4.3,75235,
9542501,https://www.vivino.com/w/8195,4.3,206,
778702,https://www.vivino.com/sv/michele-chiarlo-moscato-d-asti-nivole/w/86559,4.2,12081,
754901,https://www.vivino.com/w/1884610,4.2,49297,
259001,https://www.vivino.com/w/1497082,3.9,51014,
7656001,https://www.vivino.com/sv/giacosa-fratelli-barolo/w/92448,3.9,11132,
221101,https://www.vivino.com/w/14526,4.2,672,
290102,https://www.vivino.com/sv/hu-chateau-dereszla-aszu-5-puttonyos/w/1163076,4.2,5683,
754906,https://www.vivino.com/w/1884610,4.2,49297,
533801,https://www.vivino.com/sv/domaine-de-la-villaudiere-sancerre/w/1165051,4.0,16283,
259002,https://www.vivino.com/w/1497082,3.9,51014,
754902,https://www.vivino.com/w/1884610,4.2,49297,
626701,https://www.vivino.com/sv/xavier-vignon-chateauneuf-du-pape-chateauneuf-du-pape/w/5811659,4.1,9285,
2235001,https://www.vivino.com/w/7103,4.2,480,
281201,https://www.vivino.com/sv/casas-patronales-gran-reserva-carmenere-maule-valley/w/7570761,4.2,4512,
234701,https://www.vivino.com/sv/carm-lbv-port-k17f33/w/6347366,4.2,94,
7771001,https://www.vivino.com/w/1151129,4.2,879,
229101,https://www.vivino.com/sv/vignobles-mayard-le-hurlevent-chateauneuf-du-pape/w/1524212,4.1,8362,
1232401,https://www.vivino.com/w/1380075,4.2,1561,
273901,https://www.vivino.com/w/9423570,4.2,603,
7752201,https://www.vivino.com/sv/charles-heidsieck-brut-reserve-champagne/w/86290,4.2,36886,
419601,https://www.vivino.com/sv/fr-moulin-touchais-coteaux-du-layon/w/1190921,4.2,7597,
760201,https://www.vivino.com/sv/louis-roederer-collection-246-champagne/w/13132837,4.2,1128,
9300901,https://www.vivino.com/w/1237550,4.2,1462,
9449701,https://www.vivino.com/w/2509745,4.2,137,
9280401,https://www.vivino.com/w/1142211,4.2,210,
9532201,https://www.vivino.com/w/22526,4.2,302,
759801,https://www.vivino.com/w/1122092,4.1,32676,
742501,https://www.vivino.com/sv/charles-de-fere-brut-reserve-blanc-de-blancs-methode-traditionnelle/w/1152133,3.6,2778,
465301,https://www.vivino.com/sv/lynx-california-chardonnay-barrel-fermented/w/6236567,3.5,4625,
352801,https://www.vivino.com/sv/delicato-family-vineyards-three-finger-jack-cabernet-sauvignon/w/6818813,4.1,28422,
7475601,https://www.vivino.com/w/1500493,4.1,46,
207701,https://www.vivino.com/sv/cupertinum-copertino-riserva/w/1137422,3.5,11697,
742504,https://www.vivino.com/sv/charles-de-fere-brut-reserve-blanc-de-blancs-methode-traditionnelle/w/1152133,3.6,2778,
751802,https://www.vivino.com/w/1122092,4.1,32676,
751801,https://www.vivino.com/w/1122092,4.1,32676,
5234001,https://www.vivino.com/w/12200870,4.1,6976,
276801,https://www.vivino.com/w/21585,4.1,2863,
230402,https://www.vivino.com/sv/domini-veneti-recioto-della-valpolicella-classico-vigneti-di-moron/w/2083972,4.1,475,
279501,https://www.vivino.com/sv/buttery-barrel-chardonnay/w/10165098,3.5,1874,
1235701,https://www.vivino.com/w/73468,4.1,55281,
620701,https://www.vivino.com/sv/black-stallion-premiere-napa-valley-cabernet-sauvignon/w/4375278,4.2,15847,
9290401,https://www.vivino.com/sv/eguren-ugarte-crianza-blanco/w/10536263,4.1,154,
7420101,https://www.vivino.com/sv/borgogno-barbera-d-alba-superiore/w/8575,3.9,11931,
5253701,https://www.vivino.com/sv/chassenay-d-arce-comtesse-de-neples-brut-champagne/w/6959631,3.8,2181,
9428601,https://www.vivino.com/sv/capensis-silene-chardonnay/w/8078499,4.2,1418,
536201,https://www.vivino.com/sv/francois-martenot-cuvee-prestige-bourgogne-chardonnay/w/1199873,3.6,3131,
9498501,https://www.vivino.com/sv/pedroncelli-winery-and-vineyards-brother-s-mark-cabernet-sauvignon/w/12135517,4.1,1232,
9352401,https://www.vivino.com/sv/claude-remy-et-julien-raimbault-mainbre-sancerre-blanc/w/12643106,4.1,406,
751804,https://www.vivino.com/w/1122092,4.1,32676,
7367201,https://www.vivino.com/sv/castillo-perelada-five-finques-fincas-reserva/w/99328,4.1,27072,
628801,https://www.vivino.com/sv/laurent-kraft-domaine-des-lauriers-vouvray-sec/w/2066018,3.8,3739,
239801,https://www.vivino.com/w/1100124,4.1,2112,
792501,https://www.vivino.com/w/2728962,4.1,498,
748701,https://www.vivino.com/w/1178663,4.1,35815,
1235706,https://www.vivino.com/w/73468,4.1,55281,
208601,https://www.vivino.com/w/1128252,4.1,3825,
7252406,https://www.vivino.com/sv/black-stallion-cabernet-sauvignon/w/1166077,4.1,40341,
759802,https://www.vivino.com/w/1122092,4.1,32676,
7366101,https://www.vivino.com/w/1206114,4.1,773,
796202,https://www.vivino.com/sv/la-rame-bordeaux-rouge/w/1718633,3.7,1099,
214401,https://www.vivino.com/w/18794,4.1,588,
2307101,https://www.vivino.com/w/1169875,4.1,270,
300401,https://www.vivino.com/w/1155918,4.1,50,
355001,https://www.vivino.com/sv/labadie-medoc/w/1177846,3.8,8627,
9593401,https://www.vivino.com/w/1122192,4.1,709,
9208201,https://www.vivino.com/sv/domaine-des-crets-climat-l-echenault-de-serre-macon-chardonnay/w/5494538,4.1,3380,
