Varunummer,Vivino_pris_per_750ml,Vivino_prispunkter,Vivino_prisargang
742801,2636.82,6,2017
3215201,1650.0,5,2023
755301,1449.0,1,2018
244301,3028.4,2,2012
9382601,2479.13,2,2014
257301,329.54,2,2021
2018302,878.54,2,2021
9542501,859.0,2,2021
778702,219.0,1,2025
259001,239.0,3,2025
221101,314.17,3,2023
290102,444.8,1,0
533801,179.0,1,0
259002,239.0,3,2025
2235001,459.5,2,2021
7771001,2866.39,2,2006
1232401,258.5,2,2021
419601,965.0,1,1992
9300901,385.0,3,2022
9449701,347.95,1,2020
9280401,788.25,1,0
9532201,1320.99,3,2013
7475601,136.62,2,2022
276801,432.0,1,2017
1235701,797.07,2,1990
9352401,284.48,2,2024
239801,404.26,1,2014
792501,270.73,2,2025
1235706,797.07,2,1990
208601,319.95,3,2021
7366101,480.0,1,2022
214401,358.12,4,2022
2307101,315.3,1,2013
300401,664.0,1,2008
9593401,459.43,1,2023
9449101,634.48,2,2022
9437401,597.59,2,2016
7667101,254.47,2,2024
721801,222.47,2,2024
270501,378.5,2,2023
9513201,204.95,2,2022
536404,225.0,1,2025
7022701,419.53,2,2022
468202,159.0,1,2017
7930701,201.57,2,2023
9500901,234.0,1,2023
270502,378.5,2,2023
564801,549.0,1,2013
369002,664.0,1,2008
223501,411.01,1,2020
7935301,269.48,4,2025
7012001,369.0,1,2023
7536001,331.06,1,2020
9271601,267.71,2,2024
420001,201.57,1,2024
1200001,109.0,1,2022
252501,221.76,2,2021
7357001,115.0,1,2020
212901,139.0,1,2022
212902,139.0,1,2022
130201,246.11,2,2025
528301,278.0,1,2023
7493501,237.0,1,2023
740401,179.0,3,0
1200002,109.0,1,2022
9544501,298.0,3,2023
579801,278.0,1,2023
230001,229.0,3,2023
9542401,398.68,2,2005
7183201,213.0,1,2024
9371801,296.67,2,2023
2016501,141.0,3,2023
3225301,384.0,1,2024
9045001,290.91,2,2025
9401906,134.56,2,2022
222101,322.34,2,2020
270001,141.34,2,2024
272301,322.34,2,2020
730601,344.69,3,2023
9386501,140.76,1,0
2010801,164.62,2,2025
225701,99.0,1,2021
768801,429.0,1,2021
395801,119.0,1,2024
265901,202.69,1,0
2225701,347.5,2,2024
8253401,99.0,1,0
268601,216.34,2,2020
778101,429.0,1,2021
1241901,146.28,1,2024
2225702,347.5,2,2024
768806,429.0,1,2021
223401,158.0,1,2025
7052101,169.0,1,0
216401,115.0,1,0
7861401,199.0,1,0
60161001,157.07,2,2025
2225706,347.5,2,2024
560001,117.56,1,0
768802,429.0,1,2021
220401,159.0,1,0
7657001,119.0,1,0
225901,179.0,1,0
257601,236.84,2,2022
7939301,156.5,2,2025
7786501,429.0,1,2021
7550101,179.04,1,2020
7413401,185.8,1,2022
224501,245.0,1,2017
7917501,241.5,2,2024
7939401,156.5,2,2025
659701,119.0,1,2020
7063101,309.95,2,2020
9132001,165.0,1,2025
157101,241.0,1,0
201101,213.47,2,2023
625301,201.28,2,2024
203201,100.22,1,2025
772501,199.0,1,2023
415302,274.0,1,2023
558501,199.0,1,2023
625302,201.28,2,2024
2266202,179.0,1,2024
581001,139.0,1,2024
524401,342.0,1,2024
589901,297.0,1,2024
2266201,179.0,1,2024
752002,371.0,1,2024
280901,139.0,1,2022
7576401,176.0,1,2025
7342201,213.0,1,2024
7598601,112.0,2,0
7194701,169.0,1,2024
241701,115.0,1,0
607701,107.5,1,2022
3243101,113.06,1,2020
601801,89.0,1,2023
632101,115.0,1,2023
3222801,99.0,1,2012
790401,115.0,1,0
277301,196.14,2,2016
289901,119.0,1,2020
7174706,107.5,1,2022
7294901,89.0,1,2023
7159601,119.0,1,2019
2213801,99.0,1,2020
699802,196.0,1,2024
231001,199.0,1,2024
245901,92.0,1,2019
1601501,405.0,1,2024
646301,191.0,1,2024
756701,129.0,1,0
746301,335.5,2,2023
756706,129.0,1,0
547501,149.0,1,2021
7280901,89.0,1,0
547502,149.0,1,2021
7960001,209.0,1,2022
7235001,52.95,1,0
7487901,109.0,1,2023
642701,125.0,1,2022
7928001,209.0,1,2024
7558601,99.0,1,0
7684501,119.0,1,2017
745101,109.0,1,2015
216301,166.0,1,0
7062601,212.83,1,0
241501,99.0,1,2018
