Varunummer,Namn,Producent,Pris,Volym,Forpackning,Kategori3,Ursprung,Druvor,Vivino_betyg,Vivino_antal_recensioner,Matchningssäkerhet,Matchningskälla,Vivino_url
742801,Dom Pérignon Blanc,Moët & Chandon,2609.0,750 ml,Glasflaska,Torrt vitt,Frankrike,"Chardonnay, Pinot noir",4.6,182046,,vertex-ai-search,https://www.vivino.com/sv/dom-perignon-brut-champagne/w/86684
749401,Krug Grande Cuvée Edition 173,Krug,2649.0,750 ml,Glasflaska,Torrt vitt,Frankrike,"Chardonnay, Pinot meunier, Pinot noir",4.6,39345,,vertex-ai-search,https://www.vivino.com/sv/krug-grande-cuvee/w/7122486
3215201,Tignanello,Marchesi Antinori,1399.0,750 ml,Glasflaska,Stramt & Nyanserat,Italien,"Sangiovese, Cabernet sauvignon, Cabernet franc",4.6,10323,1.0,vivino-sök,https://www.vivino.com/w/1652
204301,Lat 42 Reserva,La Rioja Alta,129.0,750 ml,Glasflaska,Kryddigt & Mustigt,Spanien,Tempranillo,3.8,4372,,vivino-sök,https://www.vivino.com/sv/la-rioja-alta-lat-42-rioja-reserva/w/2040257
280001,Crozes-Hermitage Les Launes,Delas,229.0,750 ml,Glasflaska,Kryddigt & Mustigt,Frankrike,Syrah,3.8,18514,,websearch,https://www.vivino.com/sv/delas-freres-les-launes-crozes-hermitage/w/14612
755301,Palmer & Co Blanc de Blancs,Palmer & Co,469.0,750 ml,Glasflaska,Torrt vitt,Frankrike,Chardonnay,4.5,45,0.86,vivino-sök,https://www.vivino.com/w/1197043
244301,Borgogno Barolo Riserva,Giacomo Borgogno & Figli,729.0,750 ml,Glasflaska,Stramt & Nyanserat,Italien,Nebbiolo,4.5,739,0.88,vivino-sök,https://www.vivino.com/w/1203557
1290502,St Stephan's Crown Tokaji Aszu 5 Puttonyos,Kövágó Estate,199.0,500 ml,Glasflaska,Sött,Ungern,,4.0,1832,,websearch,https://www.vivino.com/sv/st-stephens-crown-tokaji-aszu-5-puttonyos-o5f70/w/1211958
9515101,Brunello di Montalcino Casanova di Neri,Az. Agr. Casanova di Neri,599.0,750 ml,Glasflaska,Kryddigt & Mustigt,Italien,Sangiovese,4.5,114,0.91,vivino-sök,https://www.vivino.com/w/11235813
9382601,Comtes de Champagne Blanc de Blancs,Taittinger,2195.0,750 ml,Glasflaska,Torrt vitt,Frankrike,Chardonnay,4.5,499,1.0,vivino-sök,https://www.vivino.com/w/1136950
7531601,Heitz Cabernet Sauvignon,Heitz Wine Cellars,1199.0,750 ml,Glasflaska,Fruktigt & Smakrikt,USA,Cabernet sauvignon,4.2,28385,,websearch,https://www.vivino.com/sv/heitz-cabernet-sauvignon/w/83225
2298101,Monterosso Rosso,Nordic Sea Winery,79.0,750 ml,Lättare glasflaska,Fruktigt & Smakrikt,Italien,Sangiovese,3.2,2222,,websearch,https://www.vivino.com/sv/monterosso-terre-degli-osci-rosso-osco/w/1143699
153301,Quinta do Paral,Quinta do Paral,129.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Portugal,"Verdelho, Vermentino, Viognier, Antão vaz",3.9,1306,,vertex-ai-search,https://www.vivino.com/sv/quinta-do-paral-branco/w/5429904
9533001,Filo di Seta Castello Romitorio,Castello Romitorio,1099.0,750 ml,Glasflaska,,Italien,,4.4,190,0.83,vivino-sök,https://www.vivino.com/w/4177110
667101,Viña Maipo Chardonnay,Viña Maipo SpA,69.0,750 ml,Lättare glasflaska,Friskt & Fruktigt,Chile,Chardonnay,3.2,2480,,websearch,https://www.vivino.com/sv/vina-maipo-chardonnay/w/68154
667102,Viña Maipo Chardonnay,Viña Maipo SpA,49.0,375 ml,Glasflaska,,Chile,Chardonnay,3.2,2480,,websearch,https://www.vivino.com/sv/vina-maipo-chardonnay/w/68154
7307701,Guldkula Premier Cru,Maison Burtin,389.0,750 ml,Glasflaska,Torrt vitt,Frankrike,"Pinot noir, Chardonnay",3.8,5120,,websearch,https://www.vivino.com/sv/guldkula-brut-champagne-premier-cru/w/5650610
7714101,Pierre Olivier Blanc de Blancs Prestige Brut,Pierre Olivier,79.0,750 ml,Lättare glasflaska,Torrt vitt,Frankrike,,3.5,5388,,websearch,https://www.vivino.com/sv/pierre-olivier-prestige-blanc-de-blancs/w/4169056
741801,Bollinger Special Cuvée Brut,Bollinger,649.0,750 ml,Glasflaska,Torrt vitt,Frankrike,"Pinot noir, Chardonnay, Pinot meunier",4.3,75235,0.82,vivino-sök,https://www.vivino.com/w/18929
742401,Veuve Clicquot Brut Gula Änkan,Veuve Clicquot,589.0,750 ml,Glasflaska,Torrt vitt,Frankrike,"Chardonnay, Pinot meunier, Pinot noir",,,,,
281106,Château Mont-Redon Châteauneuf-du-Pape,Château Mont-Redon,759.0,1500 ml,Glasflaska,Kryddigt & Mustigt,Frankrike,"Cinsault, Counoise, Grenache, Mourvèdre, Muscardin",4.3,413,0.82,vivino-sök,https://www.vivino.com/w/7729958
